Date/Time,Files Remaining,Predicted Files,Data Remaining (MB),Predicted Data Remaining (MB)
13 Nov 08:30,403,,"1,508,367",
13 Nov 19:03,385,,"1,485,162",
13 Nov 19:25,384,,"1,483,861",
13 Nov 21:08,381,,"1,479,927",
14 Nov 07:19,364,,"1,457,327",
14 Nov 18:07,346,,"1,432,938",
14 Nov 21:49,340,344,"1,424,683","1,426,264"
17 Nov 19:18,239,242,"1,275,590","1,275,516"
18 Nov 10:47,219,219,"1,242,807","1,241,924"
18 Nov 16:50,211,210,"1,229,445","1,228,799"
19 Nov 10:30,188,184,"1,189,792","1,190,470"
20 Nov 08:00,,153,,"1,143,825"
21 Nov 08:00,,118,,"1,091,755"
22 Nov 08:00,,82,,"1,039,686"
23 Nov 08:00,,47,,"987,617"
24 Nov 08:00,,12,,"935,548"
25 Nov 08:00,,,,"883,479"
26 Nov 08:00,,,,"831,410"
27 Nov 08:00,,,,"779,341"
28 Nov 08:00,,,,"727,271"
29 Nov 08:00,,,,"675,202"
30 Nov 08:00,,,,"623,133"
1 Dec 08:00,,,,"571,064"
2 Dec 08:00,,,,"518,995"
3 Dec 08:00,,,,"466,926"
4 Dec 08:00,,,,"414,856"
5 Dec 08:00,,,,"362,787"
6 Dec 08:00,,,,"310,718"
7 Dec 08:00,,,,"258,649"
8 Dec 08:00,,,,"206,580"
9 Dec 08:00,,,,"154,511"
10 Dec 08:00,,,,"102,442"
11 Dec 08:00,,,,"50,372"
12 Dec 08:00,,,,"-1,697"